finger_pair_code,left_finger,right_finger,timing,judgment,accuracy,trial,run
2,2,3,0.25,1,1,217,1
2,2,3,-0.4,1,0,218,1
2,2,3,0.18,1,1,219,1
2,2,3,0.07,1,1,220,1
2,2,3,-0.18,-1,1,221,1
2,2,3,0.4,1,1,222,1
2,2,3,0.12,1,1,223,1
2,2,3,-0.07,1,0,224,1
2,2,3,-0.12,1,0,225,1
2,2,3,-0.03,1,0,226,1
2,2,3,0.03,1,1,227,1
2,2,3,-0.07,1,0,228,1
2,2,3,-0.12,1,0,229,1
2,2,3,0.4,1,1,230,1
2,2,3,-0.03,-1,1,231,1
2,2,3,0.25,1,1,232,1
2,2,3,0.07,1,1,233,1
2,2,3,-0.25,-1,1,234,1
2,2,3,0.12,1,1,235,1
2,2,3,-0.18,-1,1,236,1
2,2,3,0.18,1,1,237,1
2,2,3,-0.4,-1,1,238,1
2,2,3,0.03,1,1,239,1
1,1,2,-0.18,-1,1,240,2
1,1,2,0.12,1,1,241,2
1,1,2,-0.4,-1,1,242,2
1,1,2,-0.03,-1,1,243,2
1,1,2,-0.07,-1,1,244,2
1,1,2,0.18,1,1,245,2
1,1,2,-0.12,1,0,246,2
1,1,2,0.4,1,1,247,2
1,1,2,-0.25,-1,1,248,2
1,1,2,0.03,1,1,249,2
1,1,2,0.07,1,1,250,2
1,1,2,0.25,1,1,251,2
1,1,2,0.4,1,1,252,2
1,1,2,0.18,-1,0,253,2
1,1,2,0.07,1,1,254,2
1,1,2,0.25,1,1,255,2
1,1,2,0.12,1,1,256,2
1,1,2,-0.4,-1,1,257,2
1,1,2,-0.03,1,0,258,2
1,1,2,-0.18,-1,1,259,2
1,1,2,-0.25,-1,1,260,2
1,1,2,0.03,1,1,261,2
1,1,2,-0.07,-1,1,262,2
1,1,2,-0.12,1,0,263,2
1,1,2,-0.25,-1,1,264,2
1,1,2,-0.12,1,0,265,2
1,1,2,-0.03,1,0,266,2
1,1,2,0.25,1,1,267,2
1,1,2,-0.18,1,0,268,2
1,1,2,0.07,1,1,269,2
1,1,2,0.12,1,1,270,2
1,1,2,0.4,1,1,271,2
1,1,2,0.03,1,1,272,2
1,1,2,-0.4,-1,1,273,2
1,1,2,-0.07,1,0,274,2
1,1,2,0.18,1,1,275,2
1,1,2,0.18,1,1,276,2
1,1,2,0.03,1,1,277,2
1,1,2,-0.4,-1,1,278,2
1,1,2,0.12,-1,0,279,2
1,1,2,-0.25,-1,1,280,2
1,1,2,0.4,1,1,281,2
1,1,2,-0.07,1,0,282,2
1,1,2,-0.18,1,0,283,2
1,1,2,0.25,1,1,284,2
1,1,2,-0.03,-1,1,285,2
1,1,2,0.07,1,1,286,2
1,1,2,-0.12,1,0,287,2
1,1,2,-0.4,-1,1,288,2
1,1,2,-0.12,-1,1,289,2
1,1,2,-0.18,-1,1,290,2
1,1,2,0.25,1,1,291,2
1,1,2,0.07,-1,0,292,2
